"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5940","Hero Button Find a doctor navigates to the correct URL","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","2169","Hero has corect header and subheader","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","898","Negative Path: User cannot log in with empty username and empty password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1218","The oldest user with the age of 66","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","947","Negative Path: User cannot log in with empty user and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1629","landing page title","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","1367","main login button is visible","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","900","Negative Path: User cannot log in with valid user and empty password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","2311","main blocks are visible","UI Tests","2026-03-27","passed","2026-03-27","Same-day care navigation menu","tests/ui/sharp/sameDayCare.spec.js","",""
"","2378","virtual care option has all elements visible","UI Tests","2026-03-27","passed","2026-03-27","Same-day care navigation menu","tests/ui/sharp/sameDayCare.spec.js","",""
"","1266","The youngest user with the age of 20","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1285","Negative Path: User cannot log in with valid user and space password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","614","Mock the /entries API to display a custom Playwright Product","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze API Mocking","tests/ui/demoblaze/demoblazeMocking.spec.js","",""
"","1251","Negative Path: User cannot log in with invalid user and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1","all top nav links are clickable, active, open dropdowns or navigate correctly","UI Tests","2026-03-27","skipped","2026-03-27","Amplify Top Navigation","tests/ui/amplify/amplify-nav.spec.js","",""
"","13756","Top main nav links are visible","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","1506","number of entries >25","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","61","POST with JSON payload returns 200","API Tests","2026-03-27","passed","2026-03-27","Postman Echo API Tests","tests/api/postman/postman.spec.js","",""
"","1215","verifies table headers","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","0","POST /todos - should create a new todo","API Tests","2026-03-27","skipped","2026-03-27","PostgREST API Tests","tests/api/postgrest/postgrest.spec.js","",""
"","862","verify specific cell data - Tiger Nixon","UI Tests","2026-03-27","passed","2026-03-27","Feature enable / disable table","tests/ui/datatables/featureEnableDisable.spec.js","",""
"","0","should allow an existing user to log in","UI Tests","2026-03-27","skipped","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1366","Can find entry by value from ""Name"" column","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1042","Verify user is already logged in via storageState","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Authenticated Tests","tests/ui/demoblaze/demoblazeAuthenticated.spec.js","",""
"","1260","Negative Path: User cannot log in with valid user and uppercase password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","853","loads all 57 entries because pagination is disabled","UI Tests","2026-03-27","passed","2026-03-27","Feature enable / disable table","tests/ui/datatables/featureEnableDisable.spec.js","",""
"","1267","Negative Path: User cannot log in with invalid username with special characters and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1","GET /todos - should return a list of todos","API Tests","2026-03-27","skipped","2026-03-27","PostgREST API Tests","tests/api/postgrest/postgrest.spec.js","",""
"","1195","default disabled features are hidden","UI Tests","2026-03-27","passed","2026-03-27","Feature enable / disable table","tests/ui/datatables/featureEnableDisable.spec.js","",""
"","2036","Happy Path: User can log in with valid credentials","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1338","Negative Path: User cannot log in with valid user and very long invalid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1247","Negative Path: User cannot log in with space username and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","14133","virtual care Get started opens new page in the same tab","UI Tests","2026-03-27","failed","2026-03-27","Same-day care navigation menu","tests/ui/sharp/sameDayCare.spec.js","",""
"","2228","authenticate and save state","setup","2026-03-27","passed","2026-03-27","","tests/setup/auth.setup.js","",""
"","231","GET with 2 query parameters returns 200","API Tests","2026-03-27","passed","2026-03-27","Postman Echo API Tests","tests/api/postman/postman.spec.js","",""
"","1263","Negative Path: User cannot log in with valid user and invalid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
